,predicted,conf.low,conf.high,x,var
1,11.586632743481617,7.621332916077939,15.494217785014852,First case,Carbon Monoxide (CO)
2,14.673069685785944,5.826735896115065,23.39064542874332,Entry/Restaurants,Carbon Monoxide (CO)
3,-18.453315872498987,-27.457995512422972,-9.5796989970247,Emergency,Carbon Monoxide (CO)
1,14.282479165488592,11.775393906580511,16.766187100386198,First case,Nitrogen Dioxide (NO2)
2,7.018261226317679,1.3143711025977556,12.6689654094843,Entry/Restaurants,Nitrogen Dioxide (NO2)
3,-27.45948883213165,-33.271436868431614,-21.70173432271466,Emergency,Nitrogen Dioxide (NO2)
1,26.418725469292383,23.166286228012357,29.63245871432816,First case,Particulate Matter (PM10)
2,-42.77928647518172,-50.39557268582628,-35.2536386819205,Entry/Restaurants,Particulate Matter (PM10)
3,-44.458006123759205,-52.02636505192032,-36.979715249301336,Emergency,Particulate Matter (PM10)
1,18.93442423903169,15.122638198245642,22.69353423764855,First case,Particulate Matter (PM2.5)
2,-37.444535264314005,-46.267743250317025,-28.743257436762327,Entry/Restaurants,Particulate Matter (PM2.5)
3,-39.34901745833018,-48.103727402551165,-30.715291080674056,Emergency,Particulate Matter (PM2.5)
1,1.1822267966862476,-13.70144365935646,15.300922699079035,First case,Sulfur Dioxide (SO2)
2,1.082468247074564,-31.721410089902978,32.20032885993626,Entry/Restaurants,Sulfur Dioxide (SO2)
3,-9.173320923695405,-42.023303560981816,21.98827437126485,Emergency,Sulfur Dioxide (SO2)
